id,name,description,single_category,description_ko,single_category_ko
e1669081-8ffc-4dec-97a6-e9176d7f6651,Sans Pareil Scarf,Sans pareil scarf for women,apparel|scarf,여성용 산스 파레일 스카프,의복|스카프
cfafd627-7d6b-43a5-be05-4c7937be417d,Chef Knife,A must-have for your kitchen,housewares|kitchen,주방을 위한 머스트해브 아이템,가정용품|부엌
6e6ad102-7510-4a02-b8ce-5a0cd6f431d1,Gainsboro Jacket,This gainsboro jacket for women is perfect for the city,apparel|jacket,이 여성용 게인즈버러 재킷은 도시에 딱 맞습니다.,의복|재킷
49b89871-5fe7-4898-b99d-953e15fb42b2,High Definition Speakers,High definition speakers to fill the house with beautiful music,electronics|speaker,아름다운 음악으로 집안을 가득 채우는 고화질 스피커,전자제품|스피커
5cb18925-3a3c-4867-8f1c-46efd7eba067,Spiffy Sandals,This spiffy pair of sandals for woman is perfect for the summer,footwear|sandals,이 푹신한 여성용 샌들은 여름에 딱 맞습니다.,신발|샌들
91cc9fa1-d8e9-46ae-9c8d-86264de2c6cc,Stylish Ceramic Bowl,This stylish ceramic bowl is a must-have,housewares|bowls,이 세련된 도자기 그릇은 필수품입니다.,가정용품|그릇
ee0cec46-8edf-4436-84f0-d83e7f9c453f,Blue Armchair,Relax in this nice blue armchair,furniture|chairs,이 멋진 파란색 안락 의자에서 휴식을 취하십시오.,가구|의자
0d6971a2-cffb-4602-9d4a-8edef2ac9d22,Ceramic Vase,This ceramic vase is a must-have for your home decor,homedecor|decorative,이 세라믹 꽃병은 홈 데코를 위한 머스트해브 아이템입니다.,홈 데코|데코레이션
7f9e25ec-34a9-4b27-9f97-041c58e6640e,Edgy Glasses,Edgy glasses for women,accessories|glasses,엣지 있는 여성용 안경,액세서리|안경
eb8f10ab-1317-4a11-b058-b2098bb64326,Chef Knife,Outstanding for every kitchen,housewares|kitchen,모든 주방에 잘 어울립니다.,가정용품|부엌
b11944ce-c888-4ddb-8f64-f89a6d628288,Swanky Glasses,Swanky glasses for women,accessories|glasses,여성용 멋진 안경,액세서리|안경
a6432520-a9fe-42a3-8e04-58cd50d18fb0,Easter Decoration,A favorite for early April,seasonal|easter,4월 초에 가장 인기 있는 제품,계절의|부활절
8a4af646-ffb5-4413-a201-750537e2a318,Black Shoes,Pair of black formal shoes for men,footwear|formal,남성용 블랙 포멀 슈즈,신발|정장
95677239-43cc-44e4-a97f-4a9c072210ae,Gainsboro Armchair,Swanky gainsboro armchair for any room,furniture|chairs,모든 방에 어울리는 멋진 게인즈버러 암체어,가구|의자
ab6462b7-2061-42ba-a19f-a1efc877d800,Peru-Orange Armchair,Relax in this nice peru-orange armchair,furniture|chairs,이 멋진 페루 오렌지 안락의자에서 휴식을 취하세요,가구|의자
e1d2ec50-2970-43be-aeb7-fc90779086b7,Wedding Bouquet,Wedding bouquet delivered fresh and vibrant from our growers,floral|bouquet,재배자로부터 신선하고 생생한 웨딩 부케를 제공합니다.,꽃무늬|꽃다발
1de0c711-042b-4b47-93d9-3a7d8d969ac6,Firebrick Jacket,This firebrick jacket for women is perfect for the city,apparel|jacket,이 여성용 파이어브릭 재킷은 도시에 딱 맞습니다.,의복|재킷
e65ad5b5-6860-4444-b873-9368c49cf30c,Plier,This plier is a must-have for your toolbox,tools|plier,이 플라이어는 툴박스의 필수품입니다.,도구|플라이어
25a3547f-4a86-46f5-857a-fc17aa2b8fa0,Kayak,This venturous kayak will take you everywhere,outdoors|kayaking,이 모험심 강한 카약은 당신을 어디든 데려다 줄 것입니다.,야외|카약
2a33865f-f45b-475f-9e35-29c8de4dc42d,Camping Tent,This camping tent is essential in the wilderness,outdoors|camping,이 캠핑 텐트는 황야에서 필수적입니다.,야외|캠핑
dd9e97a6-4281-40a5-9048-fde7809623fb,Unequaled Cable,This high quality cabling is unequaled for your electronics at home and on the go,electronics|cable,이 고품질 케이블은 가정에서 또는 이동 중에 사용하는 전자 제품에 필적할 수 없습니다.,전자제품|케이블
87603f27-7e5a-441e-95f6-ee33878695da,Gainsboro Work Table,Increase your productivity with this unrivaled gainsboro worktable,furniture|tables,타의 추종을 불허하는 Gainsboro 작업대로 생산성을 높이십시오.,가구|테이블
4e3dc511-426f-4fdd-9e15-58a7c74c9ff4,Hanging Lamp,This hanging lamp is a must-have for the lighting of your home,homedecor|lighting,이 벽걸이 램프는 집 조명에 꼭 필요한 제품입니다.,홈 데코|조명
8cab347e-fa92-46c5-8a0e-371229e1c539,White Dresser,This definitive dresser has lots of drawers to organize all your items,furniture|dressers,이 멋진 옷장에는 모든 물건을 정리할 수 있는 서랍이 많이 있습니다.,가구|옷장
34898360-79dc-4a8c-b774-9a799b0e7054,Modish Earrings,Modish earrings for women for everyday wear,jewelry|earrings,매일 착용할 수 있는 여성용 모디쉬 이어링,보석|귀걸이
25f47b5f-b4c7-4233-ad13-184da65d9bc8,Definitive Cable,This high quality cabling is definitive for your electronics at home and on the go,electronics|cable,이 고품질 케이블은 가정에서 또는 이동 중에 사용하는 전자 제품을 위한 최고의 제품입니다.,전자제품|케이블
7000f6e7-41f7-4957-878a-ccc42a39ca59,Hot chocolate,"Warm and sweet, get up and go.",hot dispensed|hot chocolate,따뜻하고 달콤합니다. 일어나서 가세요.,핫 디스펜스|핫 초콜릿
75899182-0ec8-4cc8-b578-dcb8d18fad55,White Dresser,This unrivaled dresser has lots of drawers to organize all your items,furniture|dressers,이 타의 추종을 불허하는 옷장에는 모든 물건을 정리할 수 있는 많은 서랍이 있습니다.,가구|옷장
bd446035-3a6f-49b0-a1c3-d346d12cb877,Valentine Stuffed Teddybear,A must-have for that special day,seasonal|valentine,특별한 날을 위한 머스트해브 아이템,계절|발렌타인
e53a6570-3a3f-4ca8-b6dc-8ff378bca757,Visit Sweden,Plan your next trip with this essential reference book on Sweden,books|travel,스웨덴에 관한 이 필수 참고서로 다음 여행을 계획하세요,도서|여행
70d44a58-e099-40ea-8c01-575013ff0be2,Kayak,Explore the waterways with this bold kayak,outdoors|kayaking,이 대담한 카약으로 물길을 탐험하세요,야외|카약
f5aea4cc-13dc-492b-a744-27a5e3f718cf,Screwdriver,Essential screwdriver for every craftperson,tools|screwdriver,모든 장인을 위한 필수 드라이버,도구|드라이버
8e772d7a-3921-4cf8-bf97-e428e90eeba1,Beef,Our beef is raised sustainably by our farmers,groceries|meat,우리 소고기는 농부들이 지속 가능한 방식으로 기르고 있습니다.,식료품|고기
83a95e2a-ba98-41cb-80ad-bd3264e735c0,Easter Decorative Egg,A must-have for April,seasonal|easter,4월의 머스트해브 아이템,계절의|부활절
efa95381-3282-4271-8ff5-5f78b5a5ea6f,Christmas Lights,A must-have for the holidays,seasonal|christmas,휴일을 위한 머스트해브 아이템,계절의|크리스마스
6d1e04fb-e960-43c3-9709-d83e19007cda,Black Heels,Pair of black formal heels for women,footwear|formal,여성용 블랙 포멀 힐 한 켤레,신발|정장
959732aa-01c5-4416-8a60-067797539182,Sure-Fire Fishing Reel,Sure-fire and easy to use fishing reel,outdoors|fishing,확실하고 사용하기 쉬운 낚시 릴,야외|낚시
6685cdbb-07c0-448d-9927-a5477e610363,Ceramic Vase,This ceramic vase is a must-have for your home decor,homedecor|decorative,이 세라믹 꽃병은 홈 데코를 위한 머스트해브 아이템입니다.,홈 데코|데코레이션
27611481-bedc-4ffd-b8e6-4af2a34d5b3e,Cheese,This cheese is fresh from our dairy farms,groceries|dairy,이 치즈는 낙농장에서 갓 가져온 것입니다.,식료품|유제품
202ee1c4-22af-4329-8672-b218174bf293,Tan Handbag,This funky tan handbag is the perfect accessory for casually toddling all over,accessories|handbag,이 펑키한 황갈색 핸드백은 캐주얼하게 아이를 데리고 다니기에 완벽한 액세서리입니다.,액세서리|핸드백
ddb21847-ca9b-45ec-b7fc-4cf3409ffda7,Fashionable Scarf,Fashionable scarf for women for every occasion,apparel|scarf,모든 상황에 어울리는 패셔너블한 여성용 스카프,의복|스카프
3d7fefba-b18a-4571-8a5f-0fc7547c7513,Wall Clock,This wall clock will keep you on time,homedecor|clock,이 벽시계는 시간을 잘 지켜줄 거예요,홈 데코 | 시계
f7c1d04c-3076-4389-b06a-91993c983777,Saddle Brown Boots,This pair of saddle brown boots is first-class for the autumn,footwear|boot,이 새들 브라운 부츠는 가을에 어울리는 최고급 제품입니다.,신발|부츠
